OID_,Region,Site_Code,SiteID,Site_name,Habitat,Subregion,StationID,First_Year_surveyed,length_m,Depth_ft,latDD,lonDD,latDeg,latMin,lonDeg,lonMin
29,FKNMS,9H1,10,Rattlesnake,HB,UK,101,1996,23,6,25.1736,-80.34749999999998,25.0,10.416,-80.0,20.85
30,FKNMS,9H1,10,Rattlesnake,HB,UK,102,1996,22,6,25.1736,-80.34749999999998,25.0,10.416,-80.0,20.85
31,FKNMS,9H1,10,Rattlesnake,HB,UK,103,1996,23,6,25.1736,-80.34749999999998,25.0,10.416,-80.0,20.85
32,FKNMS,9H1,10,Rattlesnake,HB,UK,104,1996,25,6,25.1736,-80.34749999999998,25.0,10.416,-80.0,20.85
33,FKNMS,9H2,11,El Radabob,HB,UK,111,1996,22,9,25.1201,-80.3782,25.0,7.206,-80.0,22.692
34,FKNMS,9H2,11,El Radabob,HB,UK,112,1996,22,9,25.1201,-80.3782,25.0,7.206,-80.0,22.692
35,FKNMS,9H2,11,El Radabob,HB,UK,113,1996,22,9,25.1201,-80.3782,25.0,7.206,-80.0,22.692
36,FKNMS,9H2,11,El Radabob,HB,UK,114,1996,22,9,25.1201,-80.3782,25.0,7.206,-80.0,22.692
37,FKNMS,9H3,12,Dove Key,HB,UK,121,1996,22,8,25.0447,-80.4684,25.0,2.682,-80.0,28.104
38,FKNMS,9H3,12,Dove Key,HB,UK,122,1996,22,8,25.0447,-80.4684,25.0,2.682,-80.0,28.104
39,FKNMS,9H3,12,Dove Key,HB,UK,123,1996,22,8,25.0447,-80.4684,25.0,2.682,-80.0,28.104
40,FKNMS,9H3,12,Dove Key,HB,UK,124,1996,22,8,25.0447,-80.4684,25.0,2.682,-80.0,28.104
41,FKNMS,7H2,14,Long Key,HB,MK,141,1996,22,12,24.7972,-80.784,24.0,47.832,-80.0,47.04
42,FKNMS,7H2,14,Long Key,HB,MK,142,1996,22,12,24.7972,-80.784,24.0,47.832,-80.0,47.04
43,FKNMS,7H2,14,Long Key,HB,MK,143,1996,22,12,24.7972,-80.784,24.0,47.832,-80.0,47.04
44,FKNMS,7H2,14,Long Key,HB,MK,144,1996,22,12,24.7972,-80.784,24.0,47.832,-80.0,47.04
45,FKNMS,5H1,15,Moser Channel,HB,MK,151,1996,22,12,24.6891,-81.16759999999998,24.0,41.346,-81.0,10.056
46,FKNMS,5H1,15,Moser Channel,HB,MK,152,1996,22,12,24.6891,-81.16759999999998,24.0,41.346,-81.0,10.056
47,FKNMS,5H1,15,Moser Channel,HB,MK,153,1996,22,12,24.6891,-81.16759999999998,24.0,41.346,-81.0,10.056
48,FKNMS,5H1,15,Moser Channel,HB,MK,154,1996,22,12,24.6891,-81.16759999999998,24.0,41.346,-81.0,10.056
49,FKNMS,5H2,16,Molasses Keys,HB,MK,161,1996,22,14,24.6756,-81.1905,24.0,40.536,-81.0,11.43
50,FKNMS,5H2,16,Molasses Keys,HB,MK,162,1996,22,14,24.6756,-81.1905,24.0,40.536,-81.0,11.43
51,FKNMS,5H2,16,Molasses Keys,HB,MK,163,1996,22,14,24.6756,-81.1905,24.0,40.536,-81.0,11.43
52,FKNMS,5H2,16,Molasses Keys,HB,MK,164,1996,22,14,24.6756,-81.1905,24.0,40.536,-81.0,11.43
53,FKNMS,3H1,18,Content Keys,BCP,LK,181,1996,23,18,24.8221,-81.4889,24.0,49.326,-81.0,29.334
54,FKNMS,3H1,18,Content Keys,BCP,LK,182,1996,23,18,24.8221,-81.4889,24.0,49.326,-81.0,29.334
55,FKNMS,3H1,18,Content Keys,BCP,LK,183,1996,24,18,24.8221,-81.4889,24.0,49.326,-81.0,29.334
56,FKNMS,3H1,18,Content Keys,BCP,LK,184,1996,22,18,24.8221,-81.4889,24.0,49.326,-81.0,29.334
57,FKNMS,9P5,21,Two Patches,P,UK,211,2009,21,8,25.0219,-80.43899999999998,25.0,1.314,-80.0,26.34
58,FKNMS,9P5,21,Two Patches,P,UK,212,2009,21,9,25.0219,-80.43899999999998,25.0,1.314,-80.0,26.34
59,FKNMS,9P5,21,Two Patches,P,UK,213,2014,23,7,25.0219,-80.43899999999998,25.0,1.314,-80.0,26.34
60,FKNMS,9P5,21,Two Patches,P,UK,214,2014,23,8,25.0219,-80.43899999999998,25.0,1.314,-80.0,26.34
61,FKNMS,9P6,22,Burr Fish,P,UK,221,2009,22,15,24.9992,-80.46689999999998,24.0,59.952,-80.0,28.014
62,FKNMS,9P6,22,Burr Fish,P,UK,222,2009,20,17,24.9992,-80.46689999999998,24.0,59.952,-80.0,28.014
63,FKNMS,9P6,22,Burr Fish,P,UK,223,2014,22,15,24.9992,-80.46689999999998,24.0,59.952,-80.0,28.014
64,FKNMS,9P6,22,Burr Fish,P,UK,224,2014,22,15,24.9992,-80.46689999999998,24.0,59.952,-80.0,28.014
65,FKNMS,7P3,23,Rawa Reef,P,MK,231,2009,24,20,24.7176,-80.93569999999998,24.0,43.056,-80.0,56.142
66,FKNMS,7P3,23,Rawa Reef,P,MK,232,2009,24,22,24.7176,-80.93569999999998,24.0,43.056,-80.0,56.142
67,FKNMS,7P3,23,Rawa Reef,P,MK,233,2014,22,20,24.7176,-80.93569999999998,24.0,43.056,-80.0,56.142
68,FKNMS,7P3,23,Rawa Reef,P,MK,234,2014,21,22,24.7176,-80.93569999999998,24.0,43.056,-80.0,56.142
69,FKNMS,7P4,24,Thor,P,MK,241,2009,23,18,24.6715,-81.0506,24.0,40.29,-81.0,3.036
70,FKNMS,7P4,24,Thor,P,MK,242,2009,19,21,24.6715,-81.0506,24.0,40.29,-81.0,3.036
71,FKNMS,7P4,24,Thor,P,MK,243,2014,19,21,24.6715,-81.0506,24.0,40.29,-81.0,3.036
72,FKNMS,7P4,24,Thor,P,MK,244,2014,21,18,24.6715,-81.0506,24.0,40.29,-81.0,3.036
73,FKNMS,5P5,25,Wonderland,P,LK,251,2009,23,21,24.5603,-81.5021,24.0,33.618,-81.0,30.126
74,FKNMS,5P5,25,Wonderland,P,LK,252,2009,21,18,24.5603,-81.5021,24.0,33.618,-81.0,30.126
75,FKNMS,5P5,25,Wonderland,P,LK,253,2014,23,18,24.5603,-81.5021,24.0,33.618,-81.0,30.126
76,FKNMS,5P5,25,Wonderland,P,LK,254,2014,23,18,24.5603,-81.5021,24.0,33.618,-81.0,30.126
77,FKNMS,5P6,26,Red Dun Reef,P,LK,261,2009,21,22,24.5209,-81.66209999999998,24.0,31.254,-81.0,39.726
78,FKNMS,5P6,26,Red Dun Reef,P,LK,262,2009,24,23,24.5209,-81.66209999999998,24.0,31.254,-81.0,39.726
79,FKNMS,5P6,26,Red Dun Reef,P,LK,263,2014,24,22,24.5209,-81.66209999999998,24.0,31.254,-81.0,39.726
80,FKNMS,5P6,26,Red Dun Reef,P,LK,264,2014,19,23,24.5209,-81.66209999999998,24.0,31.254,-81.0,39.726
93,FKNMS,9P1,30,Turtle,P,UK,301,1996,22,13,25.2947,-80.21909999999998,25.0,17.682,-80.0,13.146
94,FKNMS,9P1,30,Turtle,P,UK,302,1996,22,18,25.2947,-80.21909999999998,25.0,17.682,-80.0,13.146
95,FKNMS,9P1,30,Turtle,P,UK,303,1996,22,23,25.2953,-80.2174,25.0,17.718,-80.0,13.044
96,FKNMS,9P1,30,Turtle,P,UK,304,1996,23,22,25.2953,-80.2174,25.0,17.718,-80.0,13.044
97,FKNMS,9P3,32,Porter Patch,P,UK,321,1996,24,15,25.1032,-80.32429999999998,25.0,6.192,-80.0,19.458
98,FKNMS,9P3,32,Porter Patch,P,UK,322,1996,23,14,25.1032,-80.32429999999998,25.0,6.192,-80.0,19.458
99,FKNMS,9P3,32,Porter Patch,P,UK,323,1996,23,16,25.1032,-80.32429999999998,25.0,6.192,-80.0,19.458
100,FKNMS,9P3,32,Porter Patch,P,UK,324,1996,25,17,25.1032,-80.32429999999998,25.0,6.192,-80.0,19.458
101,FKNMS,9P4,33,Admiral,P,UK,331,1996,25,6,25.0447,-80.3948,25.0,2.682,-80.0,23.688
102,FKNMS,9P4,33,Admiral,P,UK,332,1996,21,4,25.0447,-80.3948,25.0,2.682,-80.0,23.688
103,FKNMS,9P4,33,Admiral,P,UK,333,1996,23,5,25.0447,-80.3948,25.0,2.682,-80.0,23.688
104,FKNMS,9P4,33,Admiral,P,UK,334,1996,23,3,25.0447,-80.3948,25.0,2.682,-80.0,23.688
105,FKNMS,7P1,34,West Turtle Shoal,P,MK,341,1996,22,22,24.6993,-80.96689999999998,24.0,41.958,-80.0,58.014
106,FKNMS,7P1,34,West Turtle Shoal,P,MK,342,1996,22,22,24.6993,-80.96689999999998,24.0,41.958,-80.0,58.014
107,FKNMS,7P1,34,West Turtle Shoal,P,MK,343,1996,22,24,24.6993,-80.96689999999998,24.0,41.958,-80.0,58.014
108,FKNMS,7P1,34,West Turtle Shoal,P,MK,344,1996,22,22,24.6993,-80.96689999999998,24.0,41.958,-80.0,58.014
109,FKNMS,7P2,35,Dustan Rocks,P,MK,351,1996,22,14,24.6895,-81.03019999999998,24.0,41.37,-81.0,1.812
110,FKNMS,7P2,35,Dustan Rocks,P,MK,352,1996,22,15,24.6895,-81.03019999999998,24.0,41.37,-81.0,1.812
111,FKNMS,7P2,35,Dustan Rocks,P,MK,353,1996,22,17,24.6895,-81.03019999999998,24.0,41.37,-81.0,1.812
112,FKNMS,7P2,35,Dustan Rocks,P,MK,354,1996,22,21,24.6895,-81.03019999999998,24.0,41.37,-81.0,1.812
113,FKNMS,5P1,36,West Washer Women,P,LK,361,1996,22,23,24.5475,-81.5866,24.0,32.85,-81.0,35.196
114,FKNMS,5P1,36,West Washer Women,P,LK,362,1996,23,25,24.5475,-81.5866,24.0,32.85,-81.0,35.196
115,FKNMS,5P1,36,West Washer Women,P,LK,363,1996,23,24,24.5475,-81.5866,24.0,32.85,-81.0,35.196
116,FKNMS,5P1,36,West Washer Women,P,LK,364,1996,21,22,24.5475,-81.5866,24.0,32.85,-81.0,35.196
117,FKNMS,5P2,37,Western Head,P,LK,371,1996,19,34,24.4977,-81.8056,24.0,29.862,-81.0,48.336
118,FKNMS,5P2,37,Western Head,P,LK,372,1996,22,35,24.4977,-81.8056,24.0,29.862,-81.0,48.336
119,FKNMS,5P2,37,Western Head,P,LK,373,1996,22,29,24.4977,-81.8056,24.0,29.862,-81.0,48.336
120,FKNMS,5P2,37,Western Head,P,LK,374,1996,23,26,24.4977,-81.8056,24.0,29.862,-81.0,48.336
121,FKNMS,5P3,38,Cliff Green,P,LK,381,1996,25,26,24.5036,-81.7677,24.0,30.216,-81.0,46.062
122,FKNMS,5P3,38,Cliff Green,P,LK,382,1996,26,20,24.5036,-81.7677,24.0,30.216,-81.0,46.062
123,FKNMS,5P3,38,Cliff Green,P,LK,383,1996,21,22,24.5036,-81.7677,24.0,30.216,-81.0,46.062
124,FKNMS,5P3,38,Cliff Green,P,LK,384,1996,20,21,24.5036,-81.7677,24.0,30.216,-81.0,46.062
125,FKNMS,2P1,39,Smith Shoal,BCP,LK,391,1996,25,26,24.7197,-81.9195,24.0,43.182,-81.0,55.17
126,FKNMS,2P1,39,Smith Shoal,BCP,LK,392,1996,25,26,24.7197,-81.9195,24.0,43.182,-81.0,55.17
127,FKNMS,2P1,39,Smith Shoal,BCP,LK,393,1996,20,25,24.7197,-81.9195,24.0,43.182,-81.0,55.17
128,FKNMS,2P1,39,Smith Shoal,BCP,LK,394,1996,23,21,24.7197,-81.9195,24.0,43.182,-81.0,55.17
129,FKNMS,5P4,40,Jaap Reef,P,LK,401,1996,24,9,24.5857,-81.5826,24.0,35.142,-81.0,34.956
130,FKNMS,5P4,40,Jaap Reef,P,LK,402,1996,22,9,24.5857,-81.5826,24.0,35.142,-81.0,34.956
131,FKNMS,5P4,40,Jaap Reef,P,LK,403,1996,25,6,24.5857,-81.5826,24.0,35.142,-81.0,34.956
132,FKNMS,5P4,40,Jaap Reef,P,LK,404,1996,22,9,24.5857,-81.5826,24.0,35.142,-81.0,34.956
152,FKNMS,9S1,50,Carysfort Shallow,OS,UK,501,1996,22,6,25.2201,-80.21049999999998,25.0,13.206,-80.0,12.63
153,FKNMS,9S1,50,Carysfort Shallow,OS,UK,502,1996,22,8,25.2208,-80.2107,25.0,13.248,-80.0,12.642
154,FKNMS,9S1,50,Carysfort Shallow,OS,UK,503,1996,22,8,25.2222,-80.2098,25.0,13.332,-80.0,12.588
155,FKNMS,9S1,50,Carysfort Shallow,OS,UK,504,1996,22,12,25.2222,-80.2098,25.0,13.332,-80.0,12.588
156,FKNMS,9S2,51,Grecian Rocks,OS,UK,511,1996,23,11,25.1075,-80.30679999999998,25.0,6.45,-80.0,18.408
157,FKNMS,9S2,51,Grecian Rocks,OS,UK,512,1996,23,11,25.1075,-80.30679999999998,25.0,6.45,-80.0,18.408
158,FKNMS,9S2,51,Grecian Rocks,OS,UK,513,1996,22,21,25.1075,-80.3069,25.0,6.45,-80.0,18.414
159,FKNMS,9S2,51,Grecian Rocks,OS,UK,514,1996,23,14,25.1075,-80.3069,25.0,6.45,-80.0,18.414
160,FKNMS,9S3,52,Molasses Shallow,OS,UK,521,1996,23,19,25.0088,-80.37649999999998,25.0,0.528,-80.0,22.59
161,FKNMS,9S3,52,Molasses Shallow,OS,UK,522,1996,22,22,25.0091,-80.375,25.0,0.546,-80.0,22.5
162,FKNMS,9S3,52,Molasses Shallow,OS,UK,523,1996,21,23,25.0088,-80.37439999999998,25.0,0.528,-80.0,22.464
163,FKNMS,9S3,52,Molasses Shallow,OS,UK,524,1996,23,28,25.0097,-80.3745,25.0,0.582,-80.0,22.47
164,FKNMS,9S4,53,Conch Shallow,OS,UK,531,1996,22,18,24.9553,-80.458,24.0,57.318,-80.0,27.48
165,FKNMS,9S4,53,Conch Shallow,OS,UK,532,1996,21,16,24.9553,-80.458,24.0,57.318,-80.0,27.48
166,FKNMS,9S4,53,Conch Shallow,OS,UK,533,1996,22,16,24.9562,-80.45709999999998,24.0,57.372,-80.0,27.426
167,FKNMS,9S4,53,Conch Shallow,OS,UK,534,1996,23,17,24.9562,-80.45709999999998,24.0,57.372,-80.0,27.426
168,FKNMS,7S1,54,Alligator Shallow,OS,MK,541,1996,22,16,24.8457,-80.62399999999998,24.0,50.742,-80.0,37.44
169,FKNMS,7S1,54,Alligator Shallow,OS,MK,542,1996,22,16,24.8457,-80.62399999999998,24.0,50.742,-80.0,37.44
170,FKNMS,7S1,54,Alligator Shallow,OS,MK,543,1996,22,10,24.8468,-80.62269999999998,24.0,50.808,-80.0,37.362
171,FKNMS,7S1,54,Alligator Shallow,OS,MK,544,1996,22,11,24.8468,-80.62269999999998,24.0,50.808,-80.0,37.362
172,FKNMS,7S2,55,Tennessee Shallow,OS,MK,551,1996,24,21,24.745,-80.7812,24.0,44.7,-80.0,46.872
173,FKNMS,7S2,55,Tennessee Shallow,OS,MK,552,1996,23,21,24.745,-80.7812,24.0,44.7,-80.0,46.872
174,FKNMS,7S2,55,Tennessee Shallow,OS,MK,553,1996,23,21,24.745,-80.7812,24.0,44.7,-80.0,46.872
175,FKNMS,7S2,55,Tennessee Shallow,OS,MK,554,1996,22,21,24.745,-80.7812,24.0,44.7,-80.0,46.872
176,FKNMS,5S1,56,Sombrero Shallow,OS,MK,561,1996,20,17,24.6253,-81.11159999999998,24.0,37.518,-81.0,6.696
177,FKNMS,5S1,56,Sombrero Shallow,OS,MK,562,1996,20,17,24.6269,-81.1092,24.0,37.614,-81.0,6.552
178,FKNMS,5S1,56,Sombrero Shallow,OS,MK,563,1996,20,20,24.6258,-81.1092,24.0,37.548,-81.0,6.552
179,FKNMS,5S1,56,Sombrero Shallow,OS,MK,564,1996,20,9,24.6255,-81.1104,24.0,37.53,-81.0,6.624
180,FKNMS,5S2,57,Looe Key Shallow,OS,LK,571,1996,21,24,24.5453,-81.4079,24.0,32.718,-81.0,24.474
181,FKNMS,5S2,57,Looe Key Shallow,OS,LK,572,1996,23,24,24.5452,-81.4071,24.0,32.712,-81.0,24.426
182,FKNMS,5S2,57,Looe Key Shallow,OS,LK,573,1996,22,22,24.5453,-81.4063,24.0,32.718,-81.0,24.378
183,FKNMS,5S2,57,Looe Key Shallow,OS,LK,574,1996,22,25,24.5453,-81.4063,24.0,32.718,-81.0,24.378
184,FKNMS,5S3,58,Eastern Sambo Shallow,OS,LK,581,1996,24,8,24.4917,-81.663565,24.0,29.502,-81.0,39.8139
185,FKNMS,5S3,58,Eastern Sambo Shallow,OS,LK,582,1996,22,9,24.4917,-81.663565,24.0,29.502,-81.0,39.8139
186,FKNMS,5S3,58,Eastern Sambo Shallow,OS,LK,583,1996,24,5,24.4917,-81.663565,24.0,29.502,-81.0,39.8139
187,FKNMS,5S3,58,Eastern Sambo Shallow,OS,LK,584,1996,23,9,24.4917,-81.663565,24.0,29.502,-81.0,39.8139
188,FKNMS,5S4,59,Western Sambo Shallow,OS,LK,591,1996,22,14,24.4796,-81.7176,24.0,28.776,-81.0,43.056
189,FKNMS,5S4,59,Western Sambo Shallow,OS,LK,592,1996,24,17,24.4796,-81.7176,24.0,28.776,-81.0,43.056
190,FKNMS,5S4,59,Western Sambo Shallow,OS,LK,593,1996,24,9,24.4798,-81.7158,24.0,28.788,-81.0,42.948
191,FKNMS,5S4,59,Western Sambo Shallow,OS,LK,594,1996,21,9,24.4798,-81.7158,24.0,28.788,-81.0,42.948
192,FKNMS,5S5,60,Rock Key Shallow,OS,LK,601,1996,23,15,24.4545,-81.8589,24.0,27.27,-81.0,51.534
193,FKNMS,5S5,60,Rock Key Shallow,OS,LK,602,1996,23,16,24.4545,-81.8589,24.0,27.27,-81.0,51.534
194,FKNMS,5S5,60,Rock Key Shallow,OS,LK,603,1996,21,17,24.4545,-81.8589,24.0,27.27,-81.0,51.534
195,FKNMS,5S5,60,Rock Key Shallow,OS,LK,604,1996,22,9,24.4548,-81.857,24.0,27.288,-81.0,51.42
196,FKNMS,2S1,61,Sand Key Shallow,OS,LK,611,1996,22,21,24.452,-81.8775,24.0,27.12,-81.0,52.65
197,FKNMS,2S1,61,Sand Key Shallow,OS,LK,612,1996,22,18,24.452,-81.8775,24.0,27.12,-81.0,52.65
198,FKNMS,2S1,61,Sand Key Shallow,OS,LK,613,1996,22,18,24.452,-81.8775,24.0,27.12,-81.0,52.65
199,FKNMS,2S1,61,Sand Key Shallow,OS,LK,614,1996,21,21,24.452,-81.8775,24.0,27.12,-81.0,52.65
200,FKNMS,9D1,70,Carysfort Deep,OD,UK,701,1996,22,52,25.2208,-80.2099,25.0,13.248,-80.0,12.594
201,FKNMS,9D1,70,Carysfort Deep,OD,UK,702,1996,22,53,25.2208,-80.2099,25.0,13.248,-80.0,12.594
202,FKNMS,9D1,70,Carysfort Deep,OD,UK,703,1996,22,47,25.2227,-80.20869999999998,25.0,13.362,-80.0,12.522
203,FKNMS,9D1,70,Carysfort Deep,OD,UK,704,1996,22,44,25.2227,-80.20869999999998,25.0,13.362,-80.0,12.522
204,FKNMS,9D3,72,Molasses Deep,OD,UK,721,1996,22,44,25.0072,-80.3756,25.0,0.432,-80.0,22.536
205,FKNMS,9D3,72,Molasses Deep,OD,UK,722,1996,22,44,25.0072,-80.3756,25.0,0.432,-80.0,22.536
206,FKNMS,9D3,72,Molasses Deep,OD,UK,723,1996,22,47,25.0073,-80.3743,25.0,0.438,-80.0,22.458
207,FKNMS,9D3,72,Molasses Deep,OD,UK,724,1996,23,49,25.0073,-80.3743,25.0,0.438,-80.0,22.458
208,FKNMS,9D4,73,Conch Deep,OD,UK,731,1996,22,54,24.9519,-80.4513,24.0,57.114,-80.0,27.078
209,FKNMS,9D4,73,Conch Deep,OD,UK,732,1996,24,54,24.9519,-80.4513,24.0,57.114,-80.0,27.078
210,FKNMS,9D4,73,Conch Deep,OD,UK,733,1996,24,53,24.9519,-80.4513,24.0,57.114,-80.0,27.078
211,FKNMS,9D4,73,Conch Deep,OD,UK,734,1996,21,52,24.9519,-80.4513,24.0,57.114,-80.0,27.078
212,FKNMS,7D1,74,Alligator Deep,OD,MK,741,1996,22,37,24.8452,-80.6209,24.0,50.712,-80.0,37.254
213,FKNMS,7D1,74,Alligator Deep,OD,MK,742,1996,22,38,24.8452,-80.6209,24.0,50.712,-80.0,37.254
214,FKNMS,7D1,74,Alligator Deep,OD,MK,743,1996,24,38,24.8452,-80.6209,24.0,50.712,-80.0,37.254
215,FKNMS,7D1,74,Alligator Deep,OD,MK,744,1996,23,36,24.8452,-80.6209,24.0,50.712,-80.0,37.254
216,FKNMS,7D2,75,Tennessee Deep,OD,MK,751,1996,23,44,24.7527,-80.7578,24.0,45.162,-80.0,45.468
217,FKNMS,7D2,75,Tennessee Deep,OD,MK,752,1996,23,44,24.7527,-80.7578,24.0,45.162,-80.0,45.468
218,FKNMS,7D2,75,Tennessee Deep,OD,MK,753,1996,22,44,24.7527,-80.7578,24.0,45.162,-80.0,45.468
219,FKNMS,7D2,75,Tennessee Deep,OD,MK,754,1996,23,43,24.7527,-80.7578,24.0,45.162,-80.0,45.468
220,FKNMS,5D1,76,Sombrero Deep,OD,MK,761,1996,20,50,24.6223,-81.11199999999998,24.0,37.338,-81.0,6.72
221,FKNMS,5D1,76,Sombrero Deep,OD,MK,762,1996,20,45,24.6223,-81.11199999999998,24.0,37.338,-81.0,6.72
222,FKNMS,5D1,76,Sombrero Deep,OD,MK,763,1996,20,47,24.6231,-81.1105,24.0,37.386,-81.0,6.63
223,FKNMS,5D1,76,Sombrero Deep,OD,MK,764,1996,20,48,24.6231,-81.1105,24.0,37.386,-81.0,6.63
224,FKNMS,5D2,77,Looe Key Deep,OD,LK,771,1996,23,41,24.5421,-81.4153,24.0,32.526,-81.0,24.918
225,FKNMS,5D2,77,Looe Key Deep,OD,LK,772,1996,22,41,24.5421,-81.4153,24.0,32.526,-81.0,24.918
226,FKNMS,5D2,77,Looe Key Deep,OD,LK,773,1996,22,41,24.5426,-81.4128,24.0,32.556,-81.0,24.768
227,FKNMS,5D2,77,Looe Key Deep,OD,LK,774,1996,21,41,24.5426,-81.4128,24.0,32.556,-81.0,24.768
228,FKNMS,5D3,78,Eastern Sambo Deep,OD,LK,781,1996,26,48,24.4884,-81.66589999999998,24.0,29.304,-81.0,39.954
229,FKNMS,5D3,78,Eastern Sambo Deep,OD,LK,782,1996,22,48,24.4884,-81.66589999999998,24.0,29.304,-81.0,39.954
230,FKNMS,5D3,78,Eastern Sambo Deep,OD,LK,783,1996,22,48,24.4884,-81.66589999999998,24.0,29.304,-81.0,39.954
231,FKNMS,5D3,78,Eastern Sambo Deep,OD,LK,784,1996,23,46,24.4884,-81.66589999999998,24.0,29.304,-81.0,39.954
232,FKNMS,5D4,79,Western Sambo Deep,OD,LK,791,1996,22,40,24.478,-81.7171,24.0,28.68,-81.0,43.026
233,FKNMS,5D4,79,Western Sambo Deep,OD,LK,792,1996,20,40,24.478,-81.7171,24.0,28.68,-81.0,43.026
234,FKNMS,5D4,79,Western Sambo Deep,OD,LK,793,1996,26,27,24.4796,-81.7142,24.0,28.776,-81.0,42.852
235,FKNMS,5D4,79,Western Sambo Deep,OD,LK,794,1996,22,29,24.4796,-81.7142,24.0,28.776,-81.0,42.852
236,FKNMS,5D5,80,Rock Key Deep,OD,LK,801,1996,22,42,24.4532,-81.8568,24.0,27.192,-81.0,51.408
237,FKNMS,5D5,80,Rock Key Deep,OD,LK,802,1996,22,40,24.4532,-81.8568,24.0,27.192,-81.0,51.408
238,FKNMS,5D5,80,Rock Key Deep,OD,LK,803,1996,23,40,24.4532,-81.8568,24.0,27.192,-81.0,51.408
239,FKNMS,5D5,80,Rock Key Deep,OD,LK,804,1996,21,40,24.4532,-81.8568,24.0,27.192,-81.0,51.408
240,FKNMS,2D1,81,Sand Key Deep,OD,LK,811,1996,22,35,24.4517,-81.8798,24.0,27.102,-81.0,52.788
241,FKNMS,2D1,81,Sand Key Deep,OD,LK,812,1996,22,34,24.4517,-81.8798,24.0,27.102,-81.0,52.788
242,FKNMS,2D1,81,Sand Key Deep,OD,LK,813,1996,22,33,24.4517,-81.8798,24.0,27.102,-81.0,52.788
243,FKNMS,2D1,81,Sand Key Deep,OD,LK,814,1996,22,30,24.4517,-81.8798,24.0,27.102,-81.0,52.788
